Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-05-24 00:00:00-04:00,9.149999618530273,9.609999656677246,8.859999656677246,9.430000305175781,28986400,0.0,0.0
2023-05-25 00:00:00-04:00,9.489999771118164,9.569999694824219,8.779999732971191,9.109999656677246,28309500,0.0,0.0
2023-05-26 00:00:00-04:00,9.15999984741211,9.6899995803833,8.850000381469727,8.930000305175781,31666500,0.0,0.0
2023-05-30 00:00:00-04:00,9.4399995803833,10.199999809265137,9.140000343322754,9.420000076293945,42716700,0.0,0.0
2023-05-31 00:00:00-04:00,9.180000305175781,9.84000015258789,9.010000228881836,9.789999961853027,28923900,0.0,0.0
2023-06-01 00:00:00-04:00,9.65999984741211,10.380000114440918,9.529999732971191,9.989999771118164,30340000,0.0,0.0
2023-06-02 00:00:00-04:00,10.319999694824219,10.390000343322754,9.569999694824219,10.029999732971191,32549100,0.0,0.0
2023-06-05 00:00:00-04:00,9.729999542236328,9.979999542236328,9.0600004196167,9.1899995803833,35660400,0.0,0.0
2023-06-06 00:00:00-04:00,8.949999809265137,10.130000114440918,8.470000267028809,10.079999923706055,53229200,0.0,0.0
2023-06-07 00:00:00-04:00,10.0,10.579999923706055,9.430000305175781,9.550000190734863,39054100,0.0,0.0
2023-06-08 00:00:00-04:00,9.609999656677246,9.890000343322754,9.529999732971191,9.569999694824219,19797200,0.0,0.0
2023-06-09 00:00:00-04:00,9.779999732971191,9.819999694824219,9.199999809265137,9.380000114440918,20506400,0.0,0.0
2023-06-12 00:00:00-04:00,9.270000457763672,9.489999771118164,9.170000076293945,9.329999923706055,14514900,0.0,0.0
2023-06-13 00:00:00-04:00,9.5,9.949999809265137,9.289999961853027,9.680000305175781,25412200,0.0,0.0
2023-06-14 00:00:00-04:00,9.729999542236328,10.029999732971191,9.510000228881836,9.6899995803833,30560400,0.0,0.0
2023-06-15 00:00:00-04:00,9.329999923706055,9.539999961853027,9.109999656677246,9.359999656677246,30601500,0.0,0.0
2023-06-16 00:00:00-04:00,9.479999542236328,10.0600004196167,9.15999984741211,9.979999542236328,50830200,0.0,0.0
2023-06-20 00:00:00-04:00,10.210000038146973,11.729999542236328,9.8100004196167,11.720000267028809,81874000,0.0,0.0
2023-06-21 00:00:00-04:00,12.25,12.899999618530273,12.010000228881836,12.210000038146973,88558500,0.0,0.0
2023-06-22 00:00:00-04:00,12.25,12.680000305175781,11.140000343322754,11.829999923706055,55820500,0.0,0.0
2023-06-23 00:00:00-04:00,11.779999732971191,13.100000381469727,11.5,12.710000038146973,87315100,0.0,0.0
2023-06-26 00:00:00-04:00,12.550000190734863,13.050000190734863,11.420000076293945,11.789999961853027,51715200,0.0,0.0
2023-06-27 00:00:00-04:00,12.180000305175781,13.5,12.050000190734863,13.380000114440918,64774800,0.0,0.0
2023-06-28 00:00:00-04:00,13.020000457763672,13.699999809265137,12.579999923706055,13.15999984741211,52768500,0.0,0.0
2023-06-29 00:00:00-04:00,13.630000114440918,14.3100004196167,13.180000305175781,13.819999694824219,50628000,0.0,0.0
2023-06-30 00:00:00-04:00,14.4399995803833,14.619999885559082,13.149999618530273,13.859999656677246,63843700,0.0,0.0
2023-07-03 00:00:00-04:00,14.050000190734863,15.640000343322754,13.949999809265137,15.319999694824219,43137000,0.0,0.0
2023-07-05 00:00:00-04:00,14.680000305175781,15.84000015258789,14.569999694824219,15.5600004196167,47454800,0.0,0.0
2023-07-06 00:00:00-04:00,15.75,15.970000267028809,14.510000228881836,15.319999694824219,47358800,0.0,0.0
2023-07-07 00:00:00-04:00,15.279999732971191,16.739999771118164,15.239999771118164,15.670000076293945,60299100,0.0,0.0
2023-07-10 00:00:00-04:00,15.800000190734863,16.979999542236328,15.239999771118164,16.920000076293945,51905200,0.0,0.0
2023-07-11 00:00:00-04:00,16.770000457763672,17.579999923706055,16.559999465942383,17.389999389648438,47291800,0.0,0.0
2023-07-12 00:00:00-04:00,17.940000534057617,18.260000228881836,16.780000686645508,16.860000610351562,54020300,0.0,0.0
2023-07-13 00:00:00-04:00,17.190000534057617,19.479999542236328,17.030000686645508,19.299999237060547,71665800,0.0,0.0
2023-07-14 00:00:00-04:00,19.1299991607666,19.8799991607666,17.8700008392334,18.06999969482422,53131800,0.0,0.0
2023-07-17 00:00:00-04:00,18.18000030517578,18.690000534057617,16.950000762939453,17.260000228881836,42105700,0.0,0.0
2023-07-18 00:00:00-04:00,17.010000228881836,17.790000915527344,16.549999237060547,16.809999465942383,33566400,0.0,0.0
2023-07-19 00:00:00-04:00,17.149999618530273,18.030000686645508,17.1299991607666,17.59000015258789,37645700,0.0,0.0
2023-07-20 00:00:00-04:00,17.8700008392334,18.100000381469727,16.81999969482422,17.059999465942383,31582400,0.0,0.0
2023-07-21 00:00:00-04:00,17.299999237060547,17.399999618530273,16.239999771118164,16.8799991607666,26477600,0.0,0.0
